tattoo,year,n_year_encounters,n_distinct_setts,n_distinct_socg,annual_socg,annual_sett,annual_x,annual_y,annual_sett_n_encounters,annual_sett_latest_date,has_annual_xy,in_infection_model,in_phase2
005W,2006,1,1,1,JUNCTION,THISTLEWOODBANK,381109,200408,1,2006-05-09,TRUE,TRUE,FALSE
005X,2025,3,2,2,WEST,WEST,380190,201400,2,2025-11-25,TRUE,TRUE,FALSE
005X,2026,2,2,2,LARCH,BOX,380621,201409,1,2026-07-28,TRUE,TRUE,FALSE
005Y,2007,1,1,1,HEDGE,HEDGE,381350,200278,1,2007-05-09,TRUE,TRUE,FALSE
005Z,2019,3,1,1,HONEYWELL,HONEYWELL,381931,201706,3,2019-10-02,TRUE,TRUE,FALSE
006A,2014,3,1,1,ARTHURS,ARTHURS,380534,200550,3,2014-12-10,TRUE,TRUE,TRUE
006A,2015,1,1,1,ARTHURS,MEAD,380390,200637,1,2015-05-20,TRUE,TRUE,TRUE
006A,2016,1,1,1,ARTHURS,MEAD,380390,200637,1,2016-05-03,TRUE,TRUE,TRUE
006A,2017,1,1,1,ARTHURS,MEAD,380390,200637,1,2017-08-01,TRUE,TRUE,TRUE
006B,2006,1,1,1,JACKSMIREY,JACKSMIREY,380678,200030,1,2006-05-09,TRUE,TRUE,FALSE
006C,2016,3,3,1,HONEYWELL,CHAIN,381946,201669,1,2016-10-18,TRUE,TRUE,TRUE
006C,2017,2,2,2,BREAKHEART,BREAKHEART,381370,201620,1,2017-11-14,TRUE,TRUE,TRUE
006C,2018,2,2,2,BOXWOOD,BREAKHEART,381370,201620,1,2018-12-11,TRUE,TRUE,TRUE
006D,2022,1,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,1,2022-06-28,TRUE,TRUE,FALSE
006E,2013,3,2,2,KENNEL,KENNEL,382464,200922,2,2013-07-30,TRUE,TRUE,FALSE
006E,2014,2,1,1,WOODRUSH,WOODRUSH,382713,200607,2,2014-08-20,TRUE,TRUE,FALSE
006E,2015,1,1,0,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
006F,2010,1,1,1,ARTHURS,MEAD,380390,200637,1,2010-05-12,TRUE,TRUE,FALSE
006G,2003,2,1,1,ARTHURS,ARTHURS,380534,200550,2,2003-10-28,TRUE,TRUE,FALSE
006G,2004,1,1,1,ARTHURS,ARTHURS,380534,200550,1,2004-05-25,TRUE,TRUE,FALSE
006G,2005,1,1,0,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
006H,2020,2,2,1,JUNCTION,JUNCTION,380841,200432,1,2020-07-21,TRUE,TRUE,FALSE
006J,2023,2,2,1,LARCH,LARCH,380541,201242,1,2023-07-18,TRUE,TRUE,FALSE
006K,2012,2,1,1,WEST,WEST,380190,201400,2,2012-07-17,TRUE,TRUE,FALSE
006L,2011,3,1,1,JACKSMIREY,JACKSMIREY,380678,200030,3,2011-12-07,TRUE,TRUE,TRUE
006L,2012,3,1,1,JACKSMIREY,JACKSMIREY,380678,200030,3,2012-09-18,TRUE,TRUE,TRUE
